timestamp_us,opcode,latency_us,bytes_sent,bytes_recv,cache
1762970907383661,READ,0,0,0,hit
1762970907383746,READ,0,0,0,hit
1762970907383825,READ,0,0,0,hit
1762970907383901,READ,0,0,0,hit
1762970907383980,READ,0,0,0,hit
1762970907384056,READ,0,0,0,hit
1762970907384135,READ,0,0,0,hit
1762970907384212,READ,0,0,0,hit
1762970907384298,READ,0,0,0,hit
1762970907384382,READ,0,0,0,hit
1762970907384460,READ,0,0,0,hit
1762970907384542,READ,0,0,0,hit
1762970907384619,READ,0,0,0,hit
1762970907384700,READ,0,0,0,hit
1762970907384782,READ,0,0,0,hit
1762970907384859,READ,0,0,0,hit
1762970907384940,READ,0,0,0,hit
1762970907385024,READ,0,0,0,hit
1762970907385106,READ,0,0,0,hit
1762970907385189,READ,0,0,0,hit
1762970907385266,READ,0,0,0,hit
1762970907385348,READ,0,0,0,hit
1762970907385431,READ,0,0,0,hit
1762970907385509,READ,0,0,0,hit
1762970907385585,READ,0,0,0,hit
1762970907385663,READ,0,0,0,hit
1762970907385746,READ,0,0,0,hit
1762970907385827,READ,0,0,0,hit
1762970907385908,READ,0,0,0,hit
1762970907385991,READ,0,0,0,hit
1762970907386068,READ,0,0,0,hit
1762970907386151,READ,0,0,0,hit
1762970907386230,READ,0,0,0,hit
1762970907386311,READ,0,0,0,hit
1762970907386386,READ,0,0,0,hit
1762970907386467,READ,0,0,0,hit
1762970907386543,READ,0,0,0,hit
1762970907386624,READ,0,0,0,hit
1762970907386866,READ,0,0,0,hit
1762970907386966,READ,0,0,0,hit
1762970907387211,READ,0,0,0,hit
1762970907387383,READ,0,0,0,hit
1762970907387482,READ,0,0,0,hit
1762970907387559,READ,0,0,0,hit
1762970907387636,READ,0,0,0,hit
1762970907387713,READ,0,0,0,hit
1762970907387791,READ,0,0,0,hit
1762970907387872,READ,0,0,0,hit
1762970907387952,READ,0,0,0,hit
1762970907388030,READ,0,0,0,hit
1762970907388111,READ,0,0,0,hit
1762970907388187,READ,0,0,0,hit
1762970907388266,READ,0,0,0,hit
1762970907388343,READ,0,0,0,hit
1762970907388422,READ,0,0,0,hit
1762970907388502,READ,0,0,0,hit
1762970907388577,READ,0,0,0,hit
1762970907388651,READ,0,0,0,hit
1762970907388725,READ,0,0,0,hit
1762970907388804,READ,0,0,0,hit
1762970907388879,READ,0,0,0,hit
1762970907388954,READ,0,0,0,hit
1762970907389032,READ,0,0,0,hit
1762970907389109,READ,0,0,0,hit
1762970907389186,READ,0,0,0,hit
1762970907389265,READ,0,0,0,hit
1762970907389341,READ,0,0,0,hit
1762970907389419,READ,0,0,0,hit
1762970907389499,READ,0,0,0,hit
1762970907389574,READ,0,0,0,hit
1762970907389651,READ,0,0,0,hit
1762970907389726,READ,0,0,0,hit
1762970907389802,READ,0,0,0,hit
1762970907389878,READ,0,0,0,hit
1762970907389954,READ,0,0,0,hit
1762970907390045,READ,0,0,0,hit
1762970907390123,READ,0,0,0,hit
1762970907390205,READ,0,0,0,hit
1762970907390285,READ,0,0,0,hit
1762970907390359,READ,0,0,0,hit
1762970907390440,READ,0,0,0,hit
1762970907390515,READ,0,0,0,hit
1762970907390594,READ,0,0,0,hit
1762970907390675,READ,0,0,0,hit
1762970907390754,READ,0,0,0,hit
1762970907390831,READ,0,0,0,hit
1762970907390905,READ,0,0,0,hit
1762970907390980,READ,0,0,0,hit
1762970907391059,READ,0,0,0,hit
1762970907391138,READ,0,0,0,hit
1762970907391214,READ,0,0,0,hit
1762970907391291,READ,0,0,0,hit
1762970907391367,READ,0,0,0,hit
1762970907391442,READ,0,0,0,hit
1762970907391519,READ,0,0,0,hit
1762970907391595,READ,0,0,0,hit
1762970907391671,READ,0,0,0,hit
1762970907391747,READ,0,0,0,hit
1762970907391821,READ,0,0,0,hit
1762970907391904,READ,0,0,0,hit
1762970907391982,READ,0,0,0,hit
1762970907392063,READ,0,0,0,hit
1762970907392142,READ,0,0,0,hit
1762970907392224,READ,0,0,0,hit
1762970907392299,READ,0,0,0,hit
1762970907392378,READ,0,0,0,hit
1762970907392451,READ,0,0,0,hit
1762970907392531,READ,0,0,0,hit
1762970907392605,READ,0,0,0,hit
1762970907392683,READ,0,0,0,hit
1762970907392762,READ,0,0,0,hit
1762970907392840,READ,0,0,0,hit
1762970907392924,READ,0,0,0,hit
1762970907393002,READ,0,0,0,hit
1762970907393083,READ,0,0,0,hit
1762970907393157,READ,0,0,0,hit
1762970907393232,READ,0,0,0,hit
1762970907393314,READ,0,0,0,hit
1762970907393410,READ,0,0,0,hit
1762970907393491,READ,0,0,0,hit
1762970907393571,READ,0,0,0,hit
1762970907393647,READ,0,0,0,hit
1762970907393730,READ,0,0,0,hit
1762970907393810,READ,0,0,0,hit
1762970907393894,READ,0,0,0,hit
1762970907393973,READ,0,0,0,hit
1762970907394048,READ,0,0,0,hit
1762970907394127,READ,0,0,0,hit
1762970907394264,READ,0,0,0,hit
1762970907394348,READ,0,0,0,hit
1762970907394429,READ,0,0,0,hit
1762970907394503,READ,0,0,0,hit
1762970907394579,READ,0,0,0,hit
1762970907394660,READ,0,0,0,hit
1762970907394741,READ,0,0,0,hit
1762970907394822,READ,0,0,0,hit
1762970907394898,READ,0,0,0,hit
1762970907394975,READ,0,0,0,hit
1762970907395059,READ,0,0,0,hit
1762970907395136,READ,0,0,0,hit
1762970907395216,READ,0,0,0,hit
1762970907395296,READ,0,0,0,hit
1762970907395371,READ,0,0,0,hit
1762970907395447,READ,0,0,0,hit
1762970907395522,READ,0,0,0,hit
1762970907395601,READ,0,0,0,hit
1762970907395681,READ,0,0,0,hit
1762970907395758,READ,0,0,0,hit
1762970907395840,READ,0,0,0,hit
1762970907395919,READ,0,0,0,hit
1762970907395995,READ,0,0,0,hit
1762970907396069,READ,0,0,0,hit
1762970907396149,READ,0,0,0,hit
1762970907396225,READ,0,0,0,hit
1762970907396300,READ,0,0,0,hit
1762970907396375,READ,0,0,0,hit
1762970907396451,READ,0,0,0,hit
1762970907396527,READ,0,0,0,hit
1762970907396602,READ,0,0,0,hit
1762970907396695,READ,0,0,0,hit
1762970907396774,READ,0,0,0,hit
1762970907396852,READ,0,0,0,hit
1762970907396928,READ,0,0,0,hit
1762970907397004,READ,0,0,0,hit
1762970907397081,READ,0,0,0,hit
1762970907397165,READ,0,0,0,hit
1762970907397244,READ,0,0,0,hit
1762970907397323,READ,0,0,0,hit
1762970907397403,READ,0,0,0,hit
1762970907397478,READ,0,0,0,hit
1762970907397555,READ,0,0,0,hit
1762970907397635,READ,0,0,0,hit
1762970907397709,READ,0,0,0,hit
1762970907397785,READ,0,0,0,hit
1762970907397866,READ,0,0,0,hit
1762970907397942,READ,0,0,0,hit
1762970907398021,READ,0,0,0,hit
1762970907398097,READ,0,0,0,hit
1762970907398178,READ,0,0,0,hit
1762970907398261,READ,0,0,0,hit
1762970907398341,READ,0,0,0,hit
1762970907398416,READ,0,0,0,hit
1762970907398491,READ,0,0,0,hit
1762970907398573,READ,0,0,0,hit
1762970907398652,READ,0,0,0,hit
1762970907398727,READ,0,0,0,hit
1762970907398804,READ,0,0,0,hit
1762970907398880,READ,0,0,0,hit
1762970907398954,READ,0,0,0,hit
1762970907399031,READ,0,0,0,hit
1762970907399110,READ,0,0,0,hit
1762970907399185,READ,0,0,0,hit
1762970907399261,READ,0,0,0,hit
1762970907399335,READ,0,0,0,hit
1762970907399411,READ,0,0,0,hit
1762970907399487,READ,0,0,0,hit
1762970907399564,READ,0,0,0,hit
1762970907399639,READ,0,0,0,hit
1762970907399716,READ,0,0,0,hit
1762970907399796,READ,0,0,0,hit
1762970907399872,READ,0,0,0,hit
1762970907399947,READ,0,0,0,hit
1762970907400039,READ,0,0,0,hit
1762970907400258,READ,0,0,0,hit
1762970907400350,READ,0,0,0,hit
1762970907401296,READ,0,0,0,hit
1762970907401386,READ,0,0,0,hit
1762970907401580,READ,0,0,0,hit
1762970907401703,READ,0,0,0,hit
1762970907401871,READ,0,0,0,hit
1762970907402048,READ,0,0,0,hit
1762970907402225,READ,0,0,0,hit
1762970907402391,READ,0,0,0,hit
1762970907402564,READ,0,0,0,hit
1762970907402628,READ,0,0,0,hit
1762970907402692,READ,0,0,0,hit
1762970907402754,READ,0,0,0,hit
1762970907402815,READ,0,0,0,hit
1762970907402878,READ,0,0,0,hit
1762970907402944,READ,0,0,0,hit
1762970907403006,READ,0,0,0,hit
1762970907403070,READ,0,0,0,hit
1762970907403132,READ,0,0,0,hit
1762970907403195,READ,0,0,0,hit
1762970907403257,READ,0,0,0,hit
1762970907403317,READ,0,0,0,hit
1762970907403399,READ,0,0,0,hit
1762970907403459,READ,0,0,0,hit
1762970907403522,READ,0,0,0,hit
1762970907403621,READ,0,0,0,hit
1762970907403704,READ,0,0,0,hit
1762970907403773,READ,0,0,0,hit
1762970907403844,READ,0,0,0,hit
1762970907403911,READ,0,0,0,hit
1762970907403974,READ,0,0,0,hit
1762970907404038,READ,0,0,0,hit
1762970907404102,READ,0,0,0,hit
1762970907404166,READ,0,0,0,hit
1762970907404229,READ,0,0,0,hit
1762970907404291,READ,0,0,0,hit
1762970907404351,READ,0,0,0,hit
1762970907404416,READ,0,0,0,hit
1762970907404478,READ,0,0,0,hit
1762970907404539,READ,0,0,0,hit
1762970907404600,READ,0,0,0,hit
1762970907404661,READ,0,0,0,hit
1762970907404722,READ,0,0,0,hit
1762970907404782,READ,0,0,0,hit
1762970907404842,READ,0,0,0,hit
1762970907404904,READ,0,0,0,hit
1762970907404966,READ,0,0,0,hit
1762970907405027,READ,0,0,0,hit
1762970907405088,READ,0,0,0,hit
1762970907405147,READ,0,0,0,hit
1762970907405209,READ,0,0,0,hit
1762970907405271,READ,0,0,0,hit
1762970907405394,READ,0,0,0,hit
1762970907405457,READ,0,0,0,hit
1762970907405519,READ,0,0,0,hit
1762970907405580,READ,0,0,0,hit
1762970907405641,READ,0,0,0,hit
1762970907405698,READ,0,0,0,hit
1762970907405759,READ,0,0,0,hit
1762970907405817,READ,0,0,0,hit
1762970907405878,READ,0,0,0,hit
1762970907405939,READ,0,0,0,hit
1762970907405999,READ,0,0,0,hit
1762970907406060,READ,0,0,0,hit
1762970907406120,READ,0,0,0,hit
1762970907406181,READ,0,0,0,hit
1762970907406240,READ,0,0,0,hit
1762970907406301,READ,0,0,0,hit
1762970907406364,READ,0,0,0,hit
1762970907406426,READ,0,0,0,hit
1762970907406486,READ,0,0,0,hit
1762970907406547,READ,0,0,0,hit
1762970907406613,READ,0,0,0,hit
1762970907406686,READ,0,0,0,hit
1762970907406800,READ,0,0,0,hit
1762970907406869,READ,0,0,0,hit
1762970907406935,READ,0,0,0,hit
1762970907406999,READ,0,0,0,hit
1762970907407062,READ,0,0,0,hit
1762970907407123,READ,0,0,0,hit
1762970907407184,READ,0,0,0,hit
1762970907407249,READ,0,0,0,hit
1762970907407312,READ,0,0,0,hit
1762970907407374,READ,0,0,0,hit
1762970907407437,READ,0,0,0,hit
1762970907407498,READ,0,0,0,hit
1762970907407560,READ,0,0,0,hit
1762970907407623,READ,0,0,0,hit
1762970907407685,READ,0,0,0,hit
1762970907407747,READ,0,0,0,hit
1762970907407810,READ,0,0,0,hit
1762970907407872,READ,0,0,0,hit
1762970907407934,READ,0,0,0,hit
1762970907407996,READ,0,0,0,hit
1762970907408058,READ,0,0,0,hit
1762970907408121,READ,0,0,0,hit
1762970907408182,READ,0,0,0,hit
1762970907408245,READ,0,0,0,hit
1762970907408308,READ,0,0,0,hit
1762970907408370,READ,0,0,0,hit
1762970907408433,READ,0,0,0,hit
1762970907408496,READ,0,0,0,hit
1762970907408558,READ,0,0,0,hit
1762970907408620,READ,0,0,0,hit
1762970907408682,READ,0,0,0,hit
1762970907408745,READ,0,0,0,hit
1762970907408806,READ,0,0,0,hit
1762970907408863,READ,0,0,0,hit
1762970907408926,READ,0,0,0,hit
1762970907408988,READ,0,0,0,hit
1762970907409051,READ,0,0,0,hit
1762970907409113,READ,0,0,0,hit
1762970907409175,READ,0,0,0,hit
1762970907409238,READ,0,0,0,hit
1762970907409300,READ,0,0,0,hit
1762970907409363,READ,0,0,0,hit
1762970907409426,READ,0,0,0,hit
1762970907409489,READ,0,0,0,hit
1762970907409552,READ,0,0,0,hit
1762970907409615,READ,0,0,0,hit
1762970907409676,READ,0,0,0,hit
1762970907409739,READ,0,0,0,hit
1762970907409802,READ,0,0,0,hit
1762970907409863,READ,0,0,0,hit
1762970907409924,READ,0,0,0,hit
1762970907409987,READ,0,0,0,hit
1762970907410060,READ,0,0,0,hit
1762970907410124,READ,0,0,0,hit
1762970907410186,READ,0,0,0,hit
1762970907410249,READ,0,0,0,hit
1762970907410312,READ,0,0,0,hit
1762970907410375,READ,0,0,0,hit
1762970907410438,READ,0,0,0,hit
1762970907410503,READ,0,0,0,hit
1762970907410566,READ,0,0,0,hit
1762970907410628,READ,0,0,0,hit
1762970907410693,READ,0,0,0,hit
1762970907410755,READ,0,0,0,hit
1762970907410818,READ,0,0,0,hit
1762970907410881,READ,0,0,0,hit
1762970907410944,READ,0,0,0,hit
1762970907411007,READ,0,0,0,hit
1762970907411069,READ,0,0,0,hit
1762970907411132,READ,0,0,0,hit
1762970907411194,READ,0,0,0,hit
1762970907411256,READ,0,0,0,hit
1762970907411319,READ,0,0,0,hit
1762970907411470,READ,0,0,0,hit
1762970907411564,READ,0,0,0,hit
1762970907411651,READ,0,0,0,hit
1762970907411738,READ,0,0,0,hit
1762970907411823,READ,0,0,0,hit
1762970907411909,READ,0,0,0,hit
1762970907411994,READ,0,0,0,hit
1762970907412079,READ,0,0,0,hit
1762970907412163,READ,0,0,0,hit
1762970907412248,READ,0,0,0,hit
1762970907412332,READ,0,0,0,hit
1762970907412419,READ,0,0,0,hit
1762970907412505,READ,0,0,0,hit
1762970907412590,READ,0,0,0,hit
1762970907412675,READ,0,0,0,hit
1762970907412761,READ,0,0,0,hit
1762970907412847,READ,0,0,0,hit
1762970907412931,READ,0,0,0,hit
1762970907413017,READ,0,0,0,hit
1762970907413102,READ,0,0,0,hit
1762970907413187,READ,0,0,0,hit
1762970907413274,READ,0,0,0,hit
1762970907413377,READ,0,0,0,hit
1762970907413465,READ,0,0,0,hit
1762970907413551,READ,0,0,0,hit
1762970907413636,READ,0,0,0,hit
1762970907413722,READ,0,0,0,hit
1762970907413808,READ,0,0,0,hit
1762970907413894,READ,0,0,0,hit
1762970907413979,READ,0,0,0,hit
1762970907414064,READ,0,0,0,hit
1762970907414150,READ,0,0,0,hit
1762970907414236,READ,0,0,0,hit
1762970907414409,READ,0,0,0,hit
1762970907414499,READ,0,0,0,hit
1762970907414585,READ,0,0,0,hit
1762970907414675,READ,0,0,0,hit
1762970907414837,READ,0,0,0,hit
1762970907415226,READ,0,0,0,hit
1762970907415434,READ,0,0,0,hit
1762970907415647,READ,0,0,0,hit
1762970907415843,READ,0,0,0,hit
1762970907416034,READ,0,0,0,hit
1762970907416153,READ,0,0,0,hit
1762970907416262,READ,0,0,0,hit
1762970907416367,READ,0,0,0,hit
1762970907416474,READ,0,0,0,hit
1762970907416578,READ,0,0,0,hit
1762970907416704,READ,0,0,0,hit
1762970907416824,READ,0,0,0,hit
1762970907416932,READ,0,0,0,hit
1762970907417038,READ,0,0,0,hit
1762970907417142,READ,0,0,0,hit
1762970907417248,READ,0,0,0,hit
1762970907417353,READ,0,0,0,hit
1762970907417458,READ,0,0,0,hit
1762970907417566,READ,0,0,0,hit
1762970907417672,READ,0,0,0,hit
1762970907417780,READ,0,0,0,hit
1762970907417886,READ,0,0,0,hit
1762970907417990,READ,0,0,0,hit
1762970907418094,READ,0,0,0,hit
1762970907418198,READ,0,0,0,hit
1762970907418302,READ,0,0,0,hit
1762970907418407,READ,0,0,0,hit
1762970907418512,READ,0,0,0,hit
1762970907418619,READ,0,0,0,hit
1762970907418726,READ,0,0,0,hit
1762970907418830,READ,0,0,0,hit
1762970907418935,READ,0,0,0,hit
1762970907419041,READ,0,0,0,hit
1762970907419146,READ,0,0,0,hit
1762970907419249,READ,0,0,0,hit
1762970907419355,READ,0,0,0,hit
1762970907419458,READ,0,0,0,hit
1762970907419562,READ,0,0,0,hit
1762970907419669,READ,0,0,0,hit
1762970907419772,READ,0,0,0,hit
1762970907419880,READ,0,0,0,hit
1762970907419987,READ,0,0,0,hit
1762970907420132,READ,0,0,0,hit
1762970907420242,READ,0,0,0,hit
1762970907420350,READ,0,0,0,hit
1762970907420459,READ,0,0,0,hit
1762970907420569,READ,0,0,0,hit
1762970907420680,READ,0,0,0,hit
1762970907420794,READ,0,0,0,hit
1762970907420918,READ,0,0,0,hit
1762970907421031,READ,0,0,0,hit
1762970907421143,READ,0,0,0,hit
1762970907421253,READ,0,0,0,hit
1762970907421376,READ,0,0,0,hit
1762970907421490,READ,0,0,0,hit
1762970907421602,READ,0,0,0,hit
1762970907421716,READ,0,0,0,hit
1762970907421841,READ,0,0,0,hit
1762970907421956,READ,0,0,0,hit
1762970907422071,READ,0,0,0,hit
1762970907422185,READ,0,0,0,hit
1762970907422297,READ,0,0,0,hit
1762970907422409,READ,0,0,0,hit
1762970907422524,READ,0,0,0,hit
1762970907422635,READ,0,0,0,hit
1762970907422748,READ,0,0,0,hit
1762970907422862,READ,0,0,0,hit
1762970907422974,READ,0,0,0,hit
1762970907423091,READ,0,0,0,hit
1762970907423220,READ,0,0,0,hit
1762970907423361,READ,0,0,0,hit
1762970907423501,READ,0,0,0,hit
1762970907424407,READ,0,0,0,hit
1762970907424534,READ,0,0,0,hit
1762970907424618,READ,0,0,0,hit
1762970907424698,READ,0,0,0,hit
1762970907424778,READ,0,0,0,hit
1762970907424855,READ,0,0,0,hit
1762970907424938,READ,0,0,0,hit
1762970907425016,READ,0,0,0,hit
1762970907425099,READ,0,0,0,hit
1762970907425177,READ,0,0,0,hit
1762970907425261,READ,0,0,0,hit
1762970907425341,READ,0,0,0,hit
1762970907425419,READ,0,0,0,hit
1762970907425497,READ,0,0,0,hit
1762970907425576,READ,0,0,0,hit
1762970907425656,READ,0,0,0,hit
1762970907425737,READ,0,0,0,hit
1762970907425814,READ,0,0,0,hit
1762970907425895,READ,0,0,0,hit
1762970907425976,READ,0,0,0,hit
1762970907426056,READ,0,0,0,hit
1762970907426141,READ,0,0,0,hit
1762970907426227,READ,0,0,0,hit
1762970907426304,READ,0,0,0,hit
1762970907426385,READ,0,0,0,hit
1762970907426466,READ,0,0,0,hit
1762970907426551,READ,0,0,0,hit
1762970907426630,READ,0,0,0,hit
1762970907426771,READ,0,0,0,hit
1762970907426876,READ,0,0,0,hit
1762970907426936,READ,0,0,0,hit
1762970907426992,READ,0,0,0,hit
1762970907427047,READ,0,0,0,hit
1762970907427101,READ,0,0,0,hit
1762970907427156,READ,0,0,0,hit
1762970907427212,READ,0,0,0,hit
1762970907427262,READ,0,0,0,hit
1762970907427315,READ,0,0,0,hit
1762970907427369,READ,0,0,0,hit
1762970907427423,READ,0,0,0,hit
1762970907427480,READ,0,0,0,hit
1762970907427534,READ,0,0,0,hit
